,optionSymbol,expiration,side,strike,bid,ask,last,openInterest,volume,ticker,sector,lastPrice,52weekHigh,52weekLow,tradedVolume,image
89,MSFT231215C00540000,1702674000,call,540,0,0.01,0.02,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
90,MSFT231215P00160000,1702674000,put,160,0,0.01,0.01,234,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
91,MSFT231215P00165000,1702674000,put,165,0,0.1,0.01,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
92,MSFT231215P00170000,1702674000,put,170,0,0.1,0.01,4,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
93,MSFT231215P00175000,1702674000,put,175,0,0.1,0.01,5,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
94,MSFT231215P00180000,1702674000,put,180,0,0.1,0.01,3,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
95,MSFT231215P00185000,1702674000,put,185,0,0.02,0.01,7,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
96,MSFT231215P00190000,1702674000,put,190,0,0.1,0.01,28,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
97,MSFT231215P00195000,1702674000,put,195,0,0.1,0.01,17,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
98,MSFT231215P00200000,1702674000,put,200,0,0.01,0.01,44,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
99,MSFT231215P00205000,1702674000,put,205,0,0.01,0.01,4,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
100,MSFT231215P00210000,1702674000,put,210,0,0.01,0.01,17,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
101,MSFT231215P00215000,1702674000,put,215,0,0.01,0.01,59,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
102,MSFT231215P00220000,1702674000,put,220,0,0.01,0.01,93,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
103,MSFT231215P00225000,1702674000,put,225,0,0.01,0.01,14,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
104,MSFT231215P00230000,1702674000,put,230,0,0.1,0.01,52,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
105,MSFT231215P00235000,1702674000,put,235,0,0.1,0.01,49,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
106,MSFT231215P00240000,1702674000,put,240,0,0.03,0.01,115,1,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
107,MSFT231215P00245000,1702674000,put,245,0,0.01,0.01,743,20,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
108,MSFT231215P00250000,1702674000,put,250,0,0.03,0.01,1492,59,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
